"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-01",,"19.3","10.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-02",,"17.1","6.4",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-03",,"16.9","4.8",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-04",,"17.1","6.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-05",,"20.0","4.9",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-06",,"18.2","4.4",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-07",,"14.9","3.8",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-08",,"16.3","1.3",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-09",,"20.0","3.9",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-10",,"18.2","6.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-11",,"18.0","2.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-12",,"14.8","5.0",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-13",,"17.1","3.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-14",,"20.7","3.5",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-15",,"23.1","6.6",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-16",,"28.6","7.0",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-17",,"25.1","12.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-18",,"27.1","10.3",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-19",,"19.5","12.4",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-20",,"21.7","10.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-21",,"20.5","7.8",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-22",,"22.5","7.4",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-23",,"16.7","7.9",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-24",,"17.9","8.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-25",,"13.3","7.0",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-26",,"14.1","4.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-27",,"12.8","8.0",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-28",,"17.7","6.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-29",,"17.6","10.2",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-30",,"17.7","5.2",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-31",,"19.9","5.2",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-01",,"21.2","11.4",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-02",,"21.3","5.8",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-03",,"24.1","7.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-04",,"21.4","11.8",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-05",,"22.1","8.5",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-06",,"24.1","9.2",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-07",,"23.4","6.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-08",,"20.7","6.2",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-09",,"21.5","10.6",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-10",,"24.7","7.5",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-11",,"22.1","8.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-12",,"26.2","12.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-13",,"24.2","11.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-14",,"21.7","13.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-15",,"20.0","7.4",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-16",,"23.8","8.9",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-17",,"20.4","9.9",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-18",,"18.5","9.3",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-19",,"20.2","6.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-20",,"22.4","6.0",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-21",,"21.8","10.8",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-22",,"25.2","11.2",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-23",,"27.8","8.5",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-24",,"27.1","13.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-25",,"19.9","10.3",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-26",,"20.4","5.9",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-27",,"21.8","13.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-28",,"19.1","9.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-01",,"20.8","4.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-02",,"24.1","7.8",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-03",,"24.1","6.4",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-04",,"22.7","8.2",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-05",,"26.9","10.2",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-06",,"26.8","11.0",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-07",,"25.1","13.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-08",,"25.8","12.6",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-09",,"22.1","12.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-10",,"21.1","10.8",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-11",,"17.6","6.2",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-12",,"18.1","6.8",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-13",,"22.9","5.0",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-14",,"22.7","7.4",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-15",,"23.0","9.5",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-16",,"21.2","9.1",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-17",,"23.6","9.7",
